City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
160,Panjakent,39.4952,67.6093,66.0,35,4,3.29,TJ,2021-07-30 01:38:07,clear sky
161,Dali,25.7,100.1833,66.52,90,100,3.09,CN,2021-07-30 01:38:07,overcast clouds
162,Muros,42.7762,-9.0603,64.99,85,71,5.19,ES,2021-07-30 01:38:08,broken clouds
163,Maniitsoq,65.4167,-52.9,46.42,77,3,10.92,GL,2021-07-30 01:38:08,clear sky
164,Ayan,56.45,138.1667,55.2,82,100,23.96,RU,2021-07-30 01:38:08,light rain
165,Lompoc,34.6391,-120.4579,76.01,80,90,5.99,US,2021-07-30 01:36:01,overcast clouds
166,Tezu,27.9167,96.1667,76.3,99,100,2.35,IN,2021-07-30 01:38:09,heavy intensity rain
167,Katsuura,35.1333,140.3,86.18,82,26,8.72,JP,2021-07-30 01:37:09,scattered clouds
168,Vestmannaeyjar,63.4427,-20.2734,53.4,92,27,12.8,IS,2021-07-30 01:38:09,scattered clouds
169,Palu,-0.8917,119.8707,87.19,68,92,0.65,ID,2021-07-30 01:38:10,light rain
170,Tocopilla,-22.092,-70.1979,63.27,65,45,5.7,CL,2021-07-30 01:38:10,scattered clouds
171,Komsomolskiy,40.4272,71.7189,79.52,24,90,4.61,UZ,2021-07-30 01:36:17,overcast clouds
172,Constitucion,-35.3333,-72.4167,51.37,76,0,2.28,CL,2021-07-30 01:38:10,clear sky
173,Kenai,60.5544,-151.2583,59.02,79,90,8.05,US,2021-07-30 01:38:11,overcast clouds
174,Sorsk,54.0033,90.2467,61.14,60,33,4.41,RU,2021-07-30 01:38:11,scattered clouds
175,Assai,-23.3733,-50.8414,42.66,45,85,3.65,BR,2021-07-30 01:38:11,overcast clouds
176,Itarema,-2.9248,-39.9167,77.72,86,46,9.28,BR,2021-07-30 01:36:53,scattered clouds
177,Tiksi,71.6872,128.8694,59.0,42,4,3.49,RU,2021-07-30 01:38:12,clear sky
